title,price,description
Barrel Twist,10000,"This service comes with blow drying, which is a unique styling for men."
All Twists,7000,"All Twists on Natural Hair, styling your twists comes with extra 1,000.

Note: You are expected to come in by your appointment time. We give 20mins grace
Any appointment later than this leads to cancellation or attracts extra charges (3,000)"
Twists with any combo (twists with weaves or styling),8000,"Twists with Weaving , Flat twists, inverted braid and our specials.

Note: You are expected to come in by your appointment time. We give 20mins grace
Any appointment later than this leads to cancellation or attracts extra charges (3,000)"
Flat twists (All back),5000,"All Flat twists 

Note: You are expected to come in by your appointment time. We give 20mins grace
Any appointment later than this leads to cancellation or attracts extra charges (3,000)"
Finger Coils,8000,"Note: You are expected to come in by your appointment time. We give 20mins grace
Any appointment later than this leads to cancellation or attracts extra charges (3,000)"
Mini twists,15000,"Mini twists 
50% payment will be made to (6924798521) Moniepoint Microfinance Bank, Flourishrootshair Salon. Secure slot with proof of payment send to the office line 08110215014
Cancellation/Rescheduling leads to forfeiture of  50% of amount paid, whether in full or part.

Note: You are expected to come in by your appointment time. We give 20mins grace
 Any appointment later than this leads to cancellation or attracts extra charges (3,000)"
Micro Twists,30000,"Micro twists are only available during week days, weekends are no longer convenient. Please book for weekdays only, thank you.
70% payment will be made to (6924798521) Moniepoint Microfinance Bank, Flourishrootshair Salon. Secure slot with proof of payment send to the office line 08110215014
Note: You are expected to come in by your appointment time. We give 20mins grace
 Any appointment later than this leads to cancellation or attracts extra charges (5,000)

Cancellation/Rescheduling leads to forfeiture of 50% of amount paid, whether in full or part."
Twists with mini weaves,9000,"You are expected to come in by your appointment time. We give 20mins grace
Any appointment later than this leads to cancellation or attracts extra charges (3,000)"
Twists with micro weaves,10000,"You are expected to come in by your appointment time. We give 20mins grace
Any appointment later than this leads to cancellation or attracts extra charges (3,000)"
Flatwists (with combo),8000,"Flattwists with twists
You are expected to come in by your appointment time. We give 20mins grace
Any appointment later than this leads to cancellation or attracts extra charges (3,000)"
Loose Braids,7000,This Loose braiding is with natural hair only
Natural Hair Braids,8000,"Braid your natural hair. 
Medium Size
No extensions added

50% payment will be made to (6924798521) Moniepoint Microfinance Bank, Flourishrootshair Salon. Secure slot with proof of payment send to the office line 08110215014
Note: You are expected to come in by your appointment time. We give 20mins grace
 Any appointment later than this leads to cancellation or attracts extra charges (3,000)"
Mini braids,16000,"Moisturizing and Detangling comes with extra fee

50% payment will be made to (6924798521) Moniepoint Microfinance Bank, Flourishrootshair Salon. Secure slot with proof of payment send to the office line 08110215014

Note: You are expected to come in by your appointment time. We give 20mins grace
 Any appointment later than this leads to cancellation or attracts extra charges (3,000)"
